"word","type","condition","experiment","grouping","Length","Freq_HAL","Log_Freq_HAL","MorphSp","MorphPr","NMorph","POS"
"colorful","target","suffixed-stem","one","one",8,2462,7.809,NA,"{k""V.l@`}.>fl=>","2","JJ"
"colorless","prime","suffixed-stem","one","one",9,968,6.875,NA,"{k""V.l@`}.>l@s>","2","JJ"
"comfort","target","stem-from-affix-conds","two","stems-from-aff",7,6490,8.778,NA,"{k""Vm.f@`t}","1","NN|VB"
"common","target","stem-from-affix-conds","two","stems-from-aff",6,97044,11.483,NA,"{k""A.m@n}","1","JJ|NN"
"concise","target","identity","one","one",7,2776,7.929,NA,"{k@n.s""aIs}","1","JJ"
"connect","target","stem-from-affix-conds","two","stems-from-aff",7,37477,10.531,NA,"{k@.n""Ekt}","1","VB|NN"
"consensus","target","semantic","one","two",9,6604,8.795,NA,"{k@n.s""En.s--@s}","2","NN"
"consumers","prime","semantic","one","two",9,6924,8.843,NA,"{k@n-.-s""um}.>@`>>z>","4","NN"
"content","target","stem-from-prefixed-prime","two","stem-standard",7,33314,10.414,NA,"{k""An.tEnt}","1","NN"
"cool","prime","stem-from-affix-conds","two","stems-from-aff",4,49548,10.811,NA,"{k""ul}","1","JJ|VB|NN"
"coolness","prime","suffix","one","one",8,372,5.919,NA,"{k""ul}.>n@s>","2","NN"
"count","target","identity","two","stem-standard",5,34402,10.446,NA,"{k""aUnt}","1","NN|VB"
"create","target","stem-from-prefixed-prime","two","stem-standard",6,73169,11.201,NA,"{kri.""et}","1","VB|NN"
"credit","prime","stem-from-affix-conds","two","stems-from-aff",6,49110,10.802,NA,"{kr""E.4@t}","1","NN|VB"
"criminals","prime","semantic","one","two",9,8559,9.055,NA,"{kr""I.m@.n--l=}>z>","3","NN"
"cripple","target","nw-w_foil","one","one",7,929,6.834,NA,"{kr""I.pl=}","1","NN|VB"
"cube","target","stem-from-affix-conds","two","stems-from-aff",4,5028,8.523,NA,"{kj""ub}","1","NN|VB"
"cubic","target","suffix","one","one",5,1771,7.479,NA,"{kj""ub}.>Ik>","2","JJ"
"cuisine","target","nw-w_foil","one","one",7,1004,6.912,NA,"{kwI.z""in}","1","NN"
"currency","target","semantic","one","two",8,9721,9.182,NA,"{k""3`.r--@n.si}","2","NN"
"cutely","target","suffixed-stem","one","one",6,46,3.829,NA,"{kj""ut}.>li>","2","RB"
"cuteness","prime","suffixed-stem","one","one",8,285,5.652,NA,"{kj""ut}.>n@s>","2","NN"
"cycle","prime","stem-from-affix-conds","two","stems-from-aff",5,20451,9.926,NA,"{s""aI.kl=}","1","NN|VB"
"cyclone","target","identity","one","one",7,2888,7.968,NA,"{s""aI.klon}","1","NN"
"dance","target","identity","two","stem-standard",5,26125,10.171,NA,"{d""ans}","1","NN|VB"
"deaf","prime","stem-from-affix-conds","two","stems-from-aff",4,6119,8.719,NA,"{d""Ef}","1","JJ|NN"
"deafness","prime","suffix","one","one",8,549,6.308,NA,"{d""Ef}.>n@s>","2","NN"
"debacle","target","nw-w_foil","one","one",7,705,6.558,NA,"{dI.b""A.kl=}","1","NN"
"debug","target","prefix","one","one",5,6324,8.752,NA,"<d%i<.{b""Vg}","2","VB"
"debunk","prime","prefix","one","one",6,398,5.986,NA,"<d%i<.{b""VNk}","2","VB"
"deceit","target","stem-from-suffixed-prime","two","stem-standard",6,921,6.825,NA,"{dI.s""it}","1","NN"
"deceitful","prime","stem-from-suffixed-prime","two","stem-standard",9,440,6.087,NA,"{dI.s""it}.>fl=>","2","JJ"
"decent","target","stem-from-affix-conds","two","stems-from-aff",6,22901,10.039,NA,"{d""i.s--n=t}","2","JJ"
"decrease","target","semantic","one","two",8,6441,8.77,NA,"{d""i-.-kris}","2","NN"
"defrost","target","prefix","one","one",7,310,5.737,NA,"<d%i<.{fr""Ost}","2","VB"
"dethrone","prime","prefix","one","one",8,154,5.037,NA,"<d%i<.{Tr""on}","2","VB"
"diagnosis","target","semantic","one","two",9,4182,8.339,NA,"{daI@--g.n""o.s--Is}","3","NN"
"diploma","target","nw-w_foil","one","one",7,1486,7.304,NA,"{dI.pl""o.m@}","1","NN"
"diplomacy","prime","semantic","one","two",9,3413,8.135,NA,"{dI.pl""o.m@-.-si}","2","NN"
"disallow","target","prefix","one","one",8,659,6.491,NA,"<d%Is<.{@.l""aU}","2","VB"
"disappear","target","prefixed-stem","one","one",9,5767,8.66,NA,"<d%Is<.{@.p""Ir}","2","VB"
"disapprove","prime","stem-from-prefixed-prime","two","stem-standard",10,725,6.586,NA,"<d%Is<.{@.pr""uv}","2","VB"
"disarm","target","prefixed-stem","one","one",6,991,6.899,NA,"<dIs<.{""Arm}","2","VB"
"disbelief","target","prefixed-stem","one","one",9,1588,7.37,NA,"<d%Is<.{b@.l""if}","2","NN"
"discharge","target","prefixed-stem","one","one",9,2885,7.967,NA,"<dIs<.{tS""ArdZ}","2","VB"
"disclaim","prime","prefix","one","one",8,381,5.943,NA,"<dIs<.{kl""em}","2","VB"
"discomfort","target","prefix","one","one",10,2000,7.601,NA,"<dIs<.{k""Vm.f@`t}","2","NN|VB"
"disconnect","target","prefix","one","one",10,2700,7.901,NA,"<d%Is<.{k@.n""Ekt}","2","VB"
"discontent","prime","stem-from-prefixed-prime","two","stem-standard",10,524,6.261,NA,"<d%Is<.{k@n.t""Ent}","2","NN|VB"
"discredit","prime","prefix","one","one",9,1907,7.553,NA,"<dIs<.{kr""E.4@t}","2","VB|NN"
"disenchant","prime","stem-from-prefixed-prime","two","stem-standard",10,2091,7.645,NA,"<d%Is<.{In.tS""ant}","2","VB"
"dish","prime","semantic-2","two","stems-from-aff",4,7237,8.887,NA,"{d""IS}","1","NN|VB"
"dishonor","target","prefix","one","one",8,223,5.407,NA,"<dIs<.{""A.n@`}","2","NN|VB"
"dislike","prime","prefixed-stem","one","one",7,5309,8.577,NA,"<dIs<.{l""aIk}","2","VB|NN"
"dislocate","prime","prefixed-stem","one","one",9,61,4.111,NA,"<d""Is<.{lo.ket}","2","VB"
"dismantle","prime","prefix","one","one",9,715,6.572,NA,"<dIs<.{m""an.4l=}","2","VB"
"disorder","prime","prefixed-stem","one","one",8,4525,8.417,NA,"<dIs<.{""Or.4@`}","2","NN"
"disorders","prime","semantic","one","two",9,3889,8.266,NA,"<dIs<.{""Or.4@`}>z>","3","NN"
"disown","target","prefix","one","one",6,262,5.568,NA,"<dIs<.{""on}","2","VB"
"displace","prime","prefixed-stem","one","one",8,369,5.911,NA,"<dIs<.{pl""es}","2","VB"
"disprove","prime","prefix","one","one",8,1576,7.363,NA,"<dIs<.{pr""uv}","2","VB"
"disqualify","prime","prefix","one","one",10,473,6.159,NA,"<dIs<.{kw""A.l@.faI}","2","VB"
"distrust","target","prefixed-stem","one","one",8,1099,7.002,NA,"<dIs<.{tr""Vst}","2","NN|VB"
"disuse","prime","prefixed-stem","one","one",6,127,4.844,NA,"<dIs<.{j""us}","2","NN"
"dive","target","semantic-2","two","stems-from-aff",4,8177,9.009,NA,"{d""aIv}","1","NN|VB"
"divine","prime","stem-from-affix-conds","two","stems-from-aff",6,12808,9.458,NA,"{dI.v""aIn}","1","JJ|NN"
"divinity","prime","suffix","one","one",8,1093,6.997,NA,"{dI.v""In$}.>@.4i>","2","NN"
"domestic","prime","orthographic","one","two",8,12573,9.439,NA,"{d@.m""E.stIk}","1","JJ|NN"
"dominate","target","orthographic","one","two",8,3176,8.063,NA,"{d""A.m@.n--et}","2","VB"
"doubt","target","stem-from-suffixed-prime","two","stem-standard",5,48652,10.792,NA,"{d""aUt}","1","NN|VB"
"doubtful","target","suffixed-stem","one","one",8,1911,7.555,NA,"{d""aUt}.>fl=>","2","JJ"
"doubtful","prime","stem-from-suffixed-prime","two","stem-standard",8,1911,7.555,NA,"{d""aUt}.>fl=>","2","JJ"
"doubtless","prime","suffixed-stem","one","one",9,921,6.825,NA,"{d""aUt}.>l@s>","2","RB"
"dress","target","stem-from-prefixed-prime","two","stem-standard",5,12384,9.424,NA,"{dr""Es}","1","NN|VB"
"dribble","target","nw-w_foil","one","one",7,799,6.683,NA,"{dr""I.bl=}","1","NN|VB"
"drinkable","target","suffixed-stem","one","one",9,202,5.308,NA,"{dr""INk}.>@.bl=>","2","JJ"
"drinker","prime","suffixed-stem","one","one",7,596,6.39,NA,"{dr""INk}.>@`>","2","NN"
"dumb","target","semantic-2","two","stems-from-aff",4,12449,9.429,NA,"{d""Vm}","1","JJ|NN"
"duplicate","prime","semantic","one","two",9,5234,8.563,NA,"{d""u-.-pl@.k--@t}","3","JJ|NN"
"dynamite","prime","semantic","one","two",8,1724,7.452,NA,"{d""aI.n@.m--aIt}","2","NN"
"eight","target","nw-w_foil","two","stem-standard",5,17470,9.768,NA,"{""et}","1","minor|NN"
"election","target","orthographic","one","two",8,12479,9.432,NA,"{I.l""Ek.S$}>n=>","2","NN"
"electric","prime","orthographic","one","two",8,19671,9.887,NA,"{I.l""Ek.tr--Ik}","2","JJ"
"electron","target","semantic","one","two",8,3923,8.275,NA,"{I.l""Ek.tr--An}","2","NN"
"eligible","target","stem-from-prefixed-prime","two","stem-standard",8,5113,8.54,NA,"{""E.lI.dZ@.bl=}","1","JJ"
"enchant","target","stem-from-prefixed-prime","two","stem-standard",7,1933,7.567,NA,"{In.tS""ant}","1","VB"
"enjoyable","target","semantic","one","two",9,4272,8.36,NA,"<In<.{dZ""OI}>@.bl=>","3","JJ"
"enter","target","identity","two","stem-standard",5,36407,10.503,NA,"{""En.4@`}","1","VB"
"even","prime","stem-from-affix-conds","two","stems-from-aff",4,490549,13.103,NA,"{""i.vn=}","1","RB|JJ|NN|VB"
"expert","prime","stem-from-affix-conds","two","stems-from-aff",6,19795,9.893,NA,"{""Ek.sp3`t}","1","NN"
"explosion","target","semantic","one","two",9,5867,8.677,NA,"{Ik.s--pl""o.Z$}>n=>","3","NN"
"fair","prime","stem-from-affix-conds","two","stems-from-aff",4,45321,10.722,NA,"{f""Er}","1","JJ|NN"
"faith","target","stem-from-affix-conds","two","stems-from-aff",5,29740,10.3,NA,"{f""eT}","1","NN"
"faithful","target","suffix","one","one",8,3545,8.173,NA,"{f""eT}.>fl=>","2","JJ|NN"
"fault","target","nw-w_foil","two","stem-standard",5,19968,9.902,NA,"{f""Olt}","1","NN|VB"
"fear","target","nw-w_foil","two","stem-standard",4,34537,10.45,NA,"{f""Ir}","1","NN|VB"
"fearful","target","suffixed-stem","one","one",7,1585,7.368,NA,"{f""Ir}.>fl=>","2","JJ"
"fearless","prime","suffixed-stem","one","one",8,1011,6.919,NA,"{f""Ir}.>l@s>","2","JJ"
"feathers","prime","orthographic","one","two",8,1784,7.487,NA,"{f""E.D@`}>z>","2","NN"
"featured","target","orthographic","one","two",8,6765,8.82,NA,"{f""i.tS@`}>d>","2","VB"
"fertile","target","stem-from-affix-conds","two","stems-from-aff",7,1394,7.24,NA,"{f""3`.4l=}","1","JJ"
"firearms","target","semantic","one","two",8,7939,8.98,NA,"{f""aIr}.{%Arm}>z>","3","NN"
"firm","prime","stem-from-affix-conds","two","stems-from-aff",4,34530,10.45,NA,"{f""3`m}","1","NN|JJ"
"flame","target","identity","two","stem-standard",5,34637,10.453,NA,"{fl""em}","1","NN|VB"
"flash","target","nw-w_foil","two","stem-standard",5,17727,9.783,NA,"{fl""aS}","1","NN|VB"
"fold","target","stem-from-prefixed-prime","two","stem-standard",4,4906,8.498,NA,"{f""old}","1","NN|VB"
"fond","target","stem-from-affix-conds","two","stems-from-aff",4,4113,8.322,NA,"{f""And}","1","NN|JJ"
"fondness","target","suffix","one","one",8,593,6.385,NA,"{f""And}.>n@s>","2","NN"
"fork","target","semantic-2","two","stems-from-aff",4,11253,9.328,NA,"{f""Ork}","1","NN"
"forth","target","nw-w_foil","two","stem-standard",5,22411,10.017,NA,"{f""OrT}","1","RB|NN|JJ"
"fortress","prime","orthographic","one","two",8,3082,8.033,NA,"{f""Or.tr@s}","1","NN"
"fortunate","target","orthographic","one","two",9,3159,8.058,NA,"{f""Or.tSun}.>@t>","2","JJ"
"fortune","target","stem-from-affix-conds","two","stems-from-aff",7,15978,9.679,NA,"{f""Or.tS@n}","1","NN"
"frame","target","identity","two","stem-standard",5,31447,10.356,NA,"{fr""em}","1","NN|VB"
"frantic","target","identity","one","one",7,1160,7.056,NA,"{fr""an.4Ik}","1","JJ"
"freeze","target","stem-from-affix-conds","two","stems-from-aff",6,5680,8.645,NA,"{fr""iz}","1","NN|VB"
"freezer","target","suffix","one","one",7,1554,7.349,NA,"{fr""iz}.>@`>","2","NN"
"frost","target","stem-from-affix-conds","two","stems-from-aff",5,6050,8.708,NA,"{fr""Ost}","1","NN|VB"
"frown","prime","semantic-2","two","stems-from-aff",5,804,6.69,NA,"{fr""aUn}","1","VB"
"fruit","target","stem-from-suffixed-prime","two","stem-standard",5,10728,9.281,NA,"{fr""ut}","1","NN"
"fruitless","prime","stem-from-suffixed-prime","two","stem-standard",9,531,6.275,NA,"{fr""ut}.>l@s>","2","JJ"
"furbish","target","stem-from-affix-conds","two","stems-from-aff",7,4,1.386,NA,"{f""3`.bIS}","1","VB"
"fury","prime","semantic-2","two","stems-from-aff",4,3864,8.259,NA,"{fj""U.ri}","1","NN"
"gamble","target","nw-w_foil","one","one",6,1968,7.585,NA,"{g""am.bl=}","1","VB"
"ghost","prime","stem-from-affix-conds","two","stems-from-aff",5,10849,9.292,NA,"{g""ost}","1","NN"
"ghostly","prime","suffix","one","one",7,851,6.746,NA,"{g""ost}.>li>","2","JJ"
"giant","target","identity","two","stem-standard",5,35553,10.479,NA,"{dZ""aI@nt}","1","NN|JJ"
"glass","target","nw-w_foil","two","stem-standard",5,20768,9.941,NA,"{gl""as}","1","NN"
"gorilla","target","identity","one","one",7,1346,7.205,NA,"{g@`.r""I.l@}","1","NN"
"graduate","target","orthographic","one","two",8,18640,9.833,NA,"{gr""a.dZu--@t}","2","NN|JJ"
"grand","target","nw-w_foil","two","stem-standard",5,22146,10.005,NA,"{gr""and}","1","JJ|NN"
"grant","target","identity","two","stem-standard",5,22314,10.013,NA,"{gr""ant}","1","NN|VB"
"grapple","target","nw-w_foil","one","one",7,750,6.62,NA,"{gr""a.pl=}","1","VB"
"grateful","prime","orthographic","one","two",8,10278,9.238,NA,"{gr""et-.-fl=}","2","JJ"
"grenade","target","identity","one","one",7,2933,7.984,NA,"{gr@.n""ed}","1","NN"
"grow","prime","semantic-2","two","stems-from-aff",4,24803,10.119,NA,"{gr""o}","1","VB|NN"
"harpoon","target","identity","one","one",7,1157,7.054,NA,"{hAr.p""un}","1","NN|VB"
"heat","target","stem-from-suffixed-prime","two","stem-standard",4,28372,10.253,NA,"{h""it}","1","NN|VB"
"heater","prime","stem-from-suffixed-prime","two","stem-standard",6,2178,7.686,NA,"{h""i4}.>@`>","2","NN"
"help","target","stem-from-suffixed-prime","two","stem-standard",4,335483,12.723,NA,"{h""Elp}","1","VB|NN"
"helpless","prime","stem-from-suffixed-prime","two","stem-standard",8,2657,7.885,NA,"{h""Elp}.>l@s>","2","JJ"
"hide","prime","semantic-2","two","stems-from-aff",4,14077,9.552,NA,"{h""aId}","1","VB|NN"
"highly","target","suffixed-stem","one","one",6,40740,10.615,NA,"{h""aI}.>li>","2","RB|NN"
"highness","prime","suffixed-stem","one","one",8,258,5.553,NA,"{h""aI}.>n@s>","2","NN"
"hip","prime","semantic-2","two","stems-from-aff",3,6836,8.83,NA,"{h""Ip}","1","NN"
"honor","target","stem-from-affix-conds","two","stems-from-aff",5,11938,9.387,NA,"{""A.n@`}","1","NN|VB"
"hope","target","stem-from-affix-conds","two","stems-from-aff",4,150675,11.923,NA,"{h""op}","1","NN|VB"
"hopeless","target","suffix","one","one",8,1974,7.588,NA,"{h""op}.>l@s>","2","JJ"
"horse","target","identity","two","stem-standard",5,23855,10.08,NA,"{h""Ors}","1","NN|VB"
"hospice","target","nw-w_foil","one","one",7,697,6.547,NA,"{h""A.spIs}","1","NN"
"host","target","nw-w_foil","two","stem-standard",4,35396,10.474,NA,"{h""ost}","1","NN|VB"
"hull","prime","semantic-2","two","stems-from-aff",4,5090,8.535,NA,"{h""Vl}","1","NN|VB"
"human","prime","stem-from-affix-conds","two","stems-from-aff",5,180168,12.102,NA,"{hj""u.m@n}","1","JJ|NN"
"hurt","prime","stem-from-affix-conds","two","stems-from-aff",4,28018,10.241,NA,"{h""3`t}","1","VB"
"hurtful","prime","suffix","one","one",7,481,6.176,NA,"{h""3`t}.>fl=>","2","JJ"
"idiot","target","stem-from-suffixed-prime","two","stem-standard",5,11911,9.385,NA,"{""I.4i@t}","1","JJ|NN"
"idiotic","prime","stem-from-suffixed-prime","two","stem-standard",7,2354,7.764,NA,"{%I.4i.""A4$}.>Ik>","2","JJ"
"immaterial","prime","stem-from-prefixed-prime","two","stem-standard",10,542,6.295,NA,"<%I<.{m@.t""I.ri@l}","2","JJ"
"immature","prime","stem-from-prefixed-prime","two","stem-standard",8,2842,7.952,NA,"<%I<.{m@.tS""Ur}","2","JJ"
"inactive","target","prefix","one","one",8,1391,7.238,NA,"<In<.{""akt}.>Iv>","3","JJ"
"indecent","target","prefix","one","one",8,5749,8.657,NA,"<In<.{d""i.s--n=t}","3","JJ"
"indirect","prime","prefixed-stem","one","one",8,2835,7.95,NA,"<%In<.{d@.r""Ekt}","2","JJ"
"ineligible","prime","stem-from-prefixed-prime","two","stem-standard",10,549,6.308,NA,"<In<.{""E.lI.dZ@.bl=}","2","JJ"
"inexpert","prime","prefix","one","one",8,23,3.135,NA,"<In<.{""Ek.sp3`t}","2","JJ"
"infertile","target","prefix","one","one",9,350,5.858,NA,"<In<.{f""3`.4l=}","2","JJ"
"infirm","prime","prefix","one","one",6,139,4.934,NA,"<In<.{f""3`m}","2","JJ"
"inhuman","prime","prefix","one","one",7,683,6.526,NA,"<In<.{hj""u.m@n}","2","JJ"
"injustice","prime","prefix","one","one",9,2274,7.729,NA,"<In<.{dZ""V.st--Is}","3","NN"
"insane","target","prefix","one","one",6,6598,8.795,NA,"<In<.{s""en}","2","JJ|NN"
"insecure","target","prefix","one","one",8,3775,8.236,NA,"<%In<.{sI.kj""Ur}","2","JJ|NN"
"intellect","target","identity","one","one",9,2583,7.857,NA,"{""In.4@.lEkt}","1","NN"
"inventory","target","semantic","one","two",9,7008,8.855,NA,"{""In.vn=.t%O.ri}","1","NN"
"invisible","prime","prefix","one","one",9,7180,8.879,NA,"<In<.{v""I.z--@.bl=}","3","JJ"
"iron","prime","semantic-2","two","stems-from-aff",4,19187,9.862,NA,"{""aI@`n}","1","NN|VB|JJ"
"irrational","prime","stem-from-prefixed-prime","two","stem-standard",10,2907,7.975,NA,"<I<.{r""aS.nl=}","2","JJ"
"jail","prime","semantic-2","two","stems-from-aff",4,9659,9.176,NA,"{dZ""el}","1","NN|VB"
"jog","prime","stem-from-affix-conds","two","stems-from-aff",3,656,6.486,NA,"{dZ""Ag}","1","VB"
"jogger","prime","suffix","one","one",6,638,6.458,NA,"{dZ""Ag}.>@`>","2","NN"
"joy","target","stem-from-suffixed-prime","two","stem-standard",3,11703,9.368,NA,"{dZ""OI}","1","NN"
"joyful","prime","stem-from-suffixed-prime","two","stem-standard",6,569,6.344,NA,"{dZ""OI}.>fl=>","2","JJ"
"just","target","stem-from-prefixed-prime","two","stem-standard",4,1020539,13.836,NA,"{dZ""Vst}","1","RB|JJ|NN"
"justice","prime","stem-from-affix-conds","two","stems-from-aff",7,31679,10.363,NA,"{dZ""V.st--Is}","2","NN"
"knife","prime","semantic-2","two","stems-from-aff",5,7120,8.871,NA,"{n""aIf}","1","NN|VB"
"label","target","identity","two","stem-standard",5,22957,10.041,NA,"{l""e.bl=}","1","NN|VB"
"lake","target","nw-w_foil","two","stem-standard",4,21614,9.981,NA,"{l""ek}","1","NN"
"large","prime","stem-from-affix-conds","two","stems-from-aff",5,134354,11.808,NA,"{l""ArdZ}","1","JJ|RB|NN"
"lattice","target","nw-w_foil","one","one",7,774,6.652,NA,"{l""a.4@s}","1","NN"
"lawful","target","suffixed-stem","one","one",6,1805,7.498,NA,"{l""O}.>fl=>","2","JJ"
"lawless","prime","suffixed-stem","one","one",7,696,6.545,NA,"{l""O}.>l@s>","2","JJ"
"lead","prime","stem-from-affix-conds","two","stems-from-aff",4,48779,10.795,NA,"{l""id}","1","VB|NN"
"leash","target","stem-from-prefixed-prime","two","stem-standard",5,2002,7.602,NA,"{l""iS}","1","NN|VB"
"legend","target","semantic-2","two","stems-from-aff",6,13459,9.507,NA,"{l""E.dZ@nd}","1","NN"
"liberals","prime","semantic","one","two",8,8365,9.032,NA,"{l""I.b@`.r--@l}>z>","3","NN"
"lice","target","stem-from-affix-conds","two","stems-from-aff",4,396,5.981,NA,"{l""aIs}","1","NN"
"lick","prime","semantic-2","two","stems-from-aff",4,4418,8.393,NA,"{l""Ik}","1","VB|NN"
"limit","target","identity","two","stem-standard",5,31222,10.349,NA,"{l""I.m@t}","1","NN|VB"
"listen","target","stem-from-suffixed-prime","two","stem-standard",6,33915,10.432,NA,"{l""I.sn=}","1","VB|NN"
"listener","prime","stem-from-suffixed-prime","two","stem-standard",8,2329,7.753,NA,"{l""I.sn=}.>@`>","2","NN"
"live","target","stem-from-prefixed-prime","two","stem-standard",4,128442,11.763,NA,"{l""Iv}","1","VB"
"load","target","stem-from-prefixed-prime","two","stem-standard",4,40668,10.613,NA,"{l""od}","1","NN|VB"
"lock","target","stem-from-prefixed-prime","two","stem-standard",4,18221,9.81,NA,"{l""Ak}","1","NN|VB"
"loose","target","stem-from-suffixed-prime","two","stem-standard",5,25759,10.157,NA,"{l""us}","1","JJ|VB|NN"
"loosely","prime","stem-from-suffixed-prime","two","stem-standard",7,2566,7.85,NA,"{l""us}.>li>","2","RB"
"lotus","target","nw-w_foil","two","stem-standard",5,20082,9.908,NA,"{l""o.4@s}","1","NN"
"loudly","target","suffixed-stem","one","one",6,2995,8.005,NA,"{l""aUd}.>li>","2","RB"
"loudness","prime","suffixed-stem","one","one",8,316,5.756,NA,"{l""aUd}.>n@s>","2","NN"
"lovable","prime","suffixed-stem","one","one",7,419,6.038,NA,"{l""Vv}.>@.bl=>","2","JJ"
"loveless","target","suffixed-stem","one","one",8,255,5.541,NA,"{l""Vv}.>l@s>","2","JJ"
"lunch","target","semantic-2","two","stems-from-aff",5,11094,9.314,NA,"{l""VntS}","1","NN|VB"
"magic","prime","semantic-2","two","stems-from-aff",5,48020,10.779,NA,"{m""a.dZIk}","1","NN|VB"
"magical","prime","orthographic","one","two",7,8370,9.032,NA,"{m""a.dZIk}.>l=>","2","JJ"
"magnetic","target","orthographic","one","two",8,12159,9.406,NA,"{mag.n""E4$}.>Ik>","2","JJ|NN"
"make","target","stem-from-prefixed-prime","two","stem-standard",4,520909,13.163,NA,"{m""ek}","1","VB|NN"
"mantle","prime","stem-from-affix-conds","two","stems-from-aff",6,3190,8.068,NA,"{m""an.4l=}","1","NN"
"marry","prime","stem-from-affix-conds","two","stems-from-aff",5,7832,8.966,NA,"{m""a.ri}","1","VB"
"match","target","stem-from-affix-conds","two","stems-from-aff",5,35069,10.465,NA,"{m""atS}","1","NN|VB"
"material","target","stem-from-prefixed-prime","two","stem-standard",8,59366,10.991,NA,"{m@.t""I.ri@l}","1","NN|JJ"
"mature","target","stem-from-prefixed-prime","two","stem-standard",6,6245,8.74,NA,"{m@.tS""Ur}","1","JJ|VB|NN"
"membrane","target","orthographic","one","two",8,1781,7.485,NA,"{m""Em.bren}","1","NN"
"memories","prime","orthographic","one","two",8,8760,9.078,NA,"{m""E.m@`.r--i}>z>","3","NN"
"metal","target","stem-from-affix-conds","two","stems-from-aff",5,28116,10.244,NA,"{m""E.4l=}","1","NN"
"metallic","target","suffix","one","one",8,1878,7.538,NA,"{m@.t""al$}.>Ik>","2","JJ"
"mind","prime","stem-from-affix-conds","two","stems-from-aff",4,131156,11.784,NA,"{m""aInd}","1","NN|VB"
"mindful","prime","suffix","one","one",7,335,5.814,NA,"{m""aInd}.>fl=>","2","JJ"
"ministry","prime","orthographic","one","two",8,9402,9.149,NA,"{m""I.n@.str--i}","2","NN"
"minor","target","identity","two","stem-standard",5,26175,10.173,NA,"{m""aI.n@`}","1","JJ|NN"
"minority","target","orthographic","one","two",8,13393,9.502,NA,"{mI.n""Or$}.>@.4i>","2","NN"
"miscount","target","prefixed-stem","one","one",8,10,2.303,NA,"<m""Is<.{kaUnt}","2","NN"
"misfit","prime","prefixed-stem","one","one",6,231,5.442,NA,"<m""Is<.{fIt}","2","NN"
"misfortune","target","prefix","one","one",10,864,6.762,NA,"<mIs<.{f""Or.tS@n}","2","NN"
"mislead","prime","prefix","one","one",7,1165,7.06,NA,"<mIs<.{l""id}","2","VB"
"mismatch","target","prefix","one","one",8,1025,6.932,NA,"<m""Is<.{matS}","2","NN"
"misplace","target","prefixed-stem","one","one",8,81,4.394,NA,"<mIs<.{pl""es}","2","VB"
"misprint","prime","prefixed-stem","one","one",8,624,6.436,NA,"<m""Is<.{prInt}","2","NN"
"misread","prime","prefixed-stem","one","one",7,852,6.748,NA,"<mIs<.{r""id}","2","VB"
"misspell","prime","prefix","one","one",8,317,5.759,NA,"<mIs<.{sp""El}","2","VB"
"mistrust","prime","prefixed-stem","one","one",8,485,6.184,NA,"<mIs<.{tr""Vst}","2","VB"
"misuse","target","prefixed-stem","one","one",6,2026,7.614,NA,"<mIs<.{j""us}","2","NN"
"mobile","prime","stem-from-affix-conds","two","stems-from-aff",6,9249,9.132,NA,"{m""o.bl=}","1","JJ|NN"
"mobility","prime","suffix","one","one",8,1805,7.498,NA,"{mo.b""Il$}.>@.4i>","2","NN"
"model","target","stem-from-affix-conds","two","stems-from-aff",5,66839,11.11,NA,"{m""A.4l=}","1","NN|VB"
"monetary","prime","orthographic","one","two",8,4496,8.411,NA,"{m""A.n@.t--%E.ri}","2","JJ|NN"
"monk","prime","semantic-2","two","stems-from-aff",4,3775,8.236,NA,"{m""VNk}","1","NN"
"monsters","target","orthographic","one","two",8,6376,8.76,NA,"{m""An.st@`}>z>","2","NN"
"mount","target","nw-w_foil","two","stem-standard",5,18145,9.806,NA,"{m""aUnt}","1","VB|NN"
"mouse","target","identity","two","stem-standard",5,37838,10.541,NA,"{m""aUs}","1","NN"
"movable","prime","suffixed-stem","one","one",7,446,6.1,NA,"{m""uv}.>@.bl=>","2","JJ"
"mover","target","suffixed-stem","one","one",5,889,6.79,NA,"{m""uv}.>@`>","2","NN"
"muscular","prime","orthographic","one","two",8,2887,7.968,NA,"{m""V.skj@.l--@`}","2","JJ"
"musical","target","orthographic","one","two",7,14696,9.595,NA,"{mj""u.zIk}.>l=>","2","JJ|NN"
"myth","prime","semantic-2","two","stems-from-aff",4,8162,9.007,NA,"{m""IT}","1","NN"
"name","target","stem-from-affix-conds","two","stems-from-aff",4,297695,12.604,NA,"{n""em}","1","NN|VB"
"neck","target","semantic-2","two","stems-from-aff",4,14841,9.605,NA,"{n""Ek}","1","NN|VB"
"nickel","target","nw-w_foil","one","one",6,1984,7.593,NA,"{n""I.kl=}","1","NN|JJ"
"noon","prime","semantic-2","two","stems-from-aff",4,4848,8.486,NA,"{n""un}","1","NN"
"notable","prime","suffix","one","one",7,3232,8.081,NA,"{n""o4}.>@.bl=>","2","JJ"
"note","prime","stem-from-affix-conds","two","stems-from-aff",4,131657,11.788,NA,"{n""ot}","1","NN|VB"
"obese","prime","stem-from-affix-conds","two","stems-from-aff",5,735,6.6,NA,"{o.b""is}","1","JJ"
"obesity","prime","suffix","one","one",7,1029,6.936,NA,"{o.b""is}.>@.4i>","2","NN"
"obscenely","target","suffixed-stem","one","one",9,278,5.628,NA,"{@b.s""in}.>li>","2","RB"
"obscenity","prime","suffixed-stem","one","one",9,2086,7.643,NA,"{@b.s""En$}.>@.4i>","2","NN"
